Questions,Count
can you tell me about that,169
why,168
yeah,167
where are you from originally,127
have you ever been diagnosed with p_t_s_d,125
goodbye,123
what are some things you really like about l_a,122
how are you at controlling your temper,121
when was the last time you argued with someone and what was it about,119
is there anything you regret,116
so how are you doing today,114
how easy is it for you to get a good night's sleep,114
what are you most proud of in your life,112
what are some things you don't really like about l_a,112
have you been diagnosed with depression,109
thanks for sharing your thoughts with me,102
how would your best friend describe you,100
how have you been feeling lately,99
what's your dream job,90
tell me about the last time you felt really happy,88
who's someone that's been a positive influence in your life,88
what are you like when you don't sleep well,87
sometimes when i'm feeling tense i turn on the fish tank screensaver hey i know it's not hawaii but it's the best i've got what do you do to relax,86
what advice would you give to yourself ten or twenty years ago,85
uh huh,84
have you noticed any changes in your behavior or thoughts lately,83
what's one of your most memorable experiences,83
do you consider yourself more shy or outgoing,83
how did you feel in that moment,81
what did you study at school,79
how hard is that,79
tell me about the hardest decision you've ever had to make,78
what do you enjoy about traveling,78
i'm sure you can tell by my shoes i'm not much of a world explorer do you travel a lot,77
tell me about a situation that you wish you had handled differently,76
i'd love to hear about one of your trips,75
how did you decide to do that,71
what would you say are some of your best qualities,67
what are some things you wish you could change about yourself,67
tell me about an event or something that you wish you could erase from your memory,65
that's good,65
that's great,64
what made you decide to do that,64
tell me about your relationship with your family,63
that sounds really hard,57
like what,57
wow,55
can you give me an example of that,54
what's something you feel guilty about,54
tell me about something you did recently that you really enjoyed,53
how easy was it for you to get used to living in l_a,52
laughter),50
are you still working in that,49
i see what you mean,49
okay i think i have asked everything i need to,49
tell me more about that,48
do you still go to therapy now,45
when was the last time that happened,44
how often do you go back to your hometown,44
do you travel a lot,44
when did you move to l_a,43
how long ago were you diagnosed,43
how does it compare to l_a,43
yes,42
what got you to seek help,41
what are some things that make you really mad,41
that sucks,41
whatever comes to your mind,41
tell me how you spend your ideal weekend,39
how do you cope with them,38
are you okay with this,37
that's so good to hear,36
are you happy you did that,35
when was the last time you felt really happy,34
aw,34
what advice would you give yourself ten or twenty years ago,33
do you consider yourself an introvert,33
are they triggered by something,33
why did you move to l_a,32
what are some things that usually put you in a good mood,32
how close are you to your family,31
tell me about a time when someone made you feel really badly about yourself,31
what do you do now,31
do you find it easy to be a parent,31
how would your best friend describe you ,30
okay i think i've asked everything i need to,30
has that gotten you in trouble,30
mm,30
what do you do to relax,30
could you have done anything to avoid it,30
why'd you move to l_a,30
what's the hardest thing about being a parent,30
do you feel like therapy is useful,29
who's someone that's been a positive influence in your life ,29
how have you been feeling lately ,28
yeah ,28
