how are you at controlling your temper,-1
tell me about a situation that you wish you had handled differently,-1
tell me about an event or something that you wish you could erase from your memory,-1
tell me about the hardest decision you've ever had to make,-1
what are some things that make you really mad,-1
what are some things you wish you could change about yourself,-1
what are you like when you don't sleep well,-1
when was the last time you argued with someone and what was it about,-1
have you been diagnosed with depression,-1
have you ever been diagnosed with p_t_s_d,-1
is there anything you regret,-1
what's something you feel guilty about,-1
do you consider yourself an introvert,1
do you consider yourself more shy or outgoing,1
have you noticed any changes in your behavior or thoughts lately,1
how easy is it for you to get a good night's sleep,1
how would your best friend describe you,1
tell me about something you did recently that you really enjoyed,1
tell me about the last time you felt really happy,1
what advice would you give to yourself ten or twenty years ago,1
what do you do to relax,1
what would you say are some of your best qualities,1
what's your dream job,1
who's someone that's been a positive influence in your life,1
how close are you to your family,1
how have you been feeling lately,1
tell me about your relationship with your family,1
what are you most proud of in your life,1
what's one of your most memorable experiences,1
