video,question,starttime,endtime,frame,timestamp,confidence,success,x_0,y_0,z_0,x_1,y_1,z_1,x_h0,y_h0,z_h0,x_h1,y_h1,z_h1
337,how close are you to your family,221.37,254.87,7144.5,238.116666998,0.958924213718,1.0,0.0481870187455,0.371686522863,-0.924332280318,-0.290361152087,0.346566060636,-0.888716506958,0.100716038492,0.438667985089,-0.889455338966,-0.233675510934,0.378572209742,-0.892050052684
337,do you consider yourself an introvert,194.35,220.26,6220.0,207.3,0.958339327343,1.0,0.0693800872289,0.350478671374,-0.931893988447,-0.264917587933,0.35630218742,-0.89352212837,0.117955888961,0.413633016688,-0.89929590629,-0.215058331322,0.428124300385,-0.873822251605
337,what do you do to relax,255.98,298.74,8321.5,277.35,0.958502864486,1.0,0.0555279858438,0.330814575779,-0.938807652648,-0.265286915888,0.344606234424,-0.897419123832,0.102296506394,0.362719836526,-0.922496354361,-0.218042294237,0.381780719626,-0.894166441589
337,when was the last time you felt really happy,1604.98,1655.7,48911.0,1630.33333552,0.954309268549,1.0,0.0871628637466,0.37194058306,-0.920149442548,-0.312124968483,0.371510518713,-0.870998812869,0.0579388360163,0.44473787459,-0.886905747209,-0.336581933027,0.418795575837,-0.836124388707
337,how have you been feeling lately,1488.19,1603.29,46373.5,1545.75,0.961564525767,1.0,0.0696179020459,0.350041637116,-0.930643442096,-0.265190058193,0.358482792415,-0.89201919861,0.143067898261,0.351171423248,-0.919227299942,-0.189768013115,0.365317477417,-0.906966730457
337,what would you say are some of your best qualities,1687.85,1718.29,51093.0,1703.06666667,0.946321884153,1.0,0.134587579738,0.340833314754,-0.927889460109,-0.229586928415,0.376521039344,-0.895098493989,0.110232477399,0.36147923388,-0.922885810929,-0.244736110383,0.435548080874,-0.864408327869
337,what advice would you give yourself ten or twenty years ago,1080.42,1159.1,33594.0,1119.76666667,0.96275226853,1.0,0.113354437869,0.344129742058,-0.929831681067,-0.238531923973,0.367281178314,-0.896036258365,0.166891896068,0.357189423973,-0.915485594663,-0.181828283274,0.39976535324,-0.892379062262
337,who's someone that's been a positive influence in your life,827.64,879.74,25611.5,853.68333312,0.963371852941,1.0,0.0773486528419,0.34293417954,-0.931428546036,-0.231149618414,0.355823545972,-0.901881436701,0.180345829439,0.358966867839,-0.908324040281,-0.122327145592,0.391583925064,-0.906074003836
337,how would your best friend describe you,1657.88,1688.12,50191.0,1673.0,0.958881314631,1.0,0.0953543179406,0.360367221122,-0.924250784378,-0.300740183718,0.379381126513,-0.873595057206,0.131561028471,0.40863320462,-0.896209240924,-0.262801409241,0.425246081408,-0.863080794279
337,when was the last time you argued with someone and what was it about,622.31,826.08,21726.5,724.183333333,0.96453693752,1.0,0.0974091021543,0.34737228149,-0.929404780013,-0.233338575466,0.353689127674,-0.902613076055,0.19651487408,0.368053045535,-0.902585936703,-0.131243578681,0.381767414164,-0.909145377985
490,tell me about the last time you felt really happy,487.494,501.45,14835.0,494.466665871,0.958460653938,1.0,-0.140957680668,0.301269966587,-0.9411050358,-0.291748343675,0.289399620525,-0.910567909308,-0.182935294511,0.473063742243,-0.858240942721,-0.330206169451,0.434193852029,-0.83609326253
490,how close are you to your family,313.559,326.81,9606.5,320.183334171,0.932329954774,0.939698492462,-0.0951577789528,0.298017427136,-0.942556756281,-0.301072339196,0.309850836683,-0.891081585427,-0.101756043342,0.51842138191,-0.830384306533,-0.30752670603,0.498888761307,-0.78734691206
490,when was the last time you argued with someone and what was it about,184.127,193.27,5662.0,188.7,0.966441389091,1.0,-0.0601943619745,0.234094454545,-0.967597527273,-0.214011781818,0.256699178182,-0.939633265455,-0.119277310618,0.497519185455,-0.856124352727,-0.26889508,0.515755861818,-0.809759752727
490,tell me about your relationship with your family,307.158,311.85,9286.5,309.516669014,0.964294929577,1.0,-0.102227487923,0.266645373239,-0.956001373239,-0.254700098592,0.284947253521,-0.922064528169,-0.130430365775,0.496019387324,-0.855373633803,-0.283521605634,0.492834830986,-0.819654204225
490,how have you been feeling lately,436.468,450.147,13300.0,443.3,0.963174394161,1.0,-0.110939786146,0.286851469586,-0.948729552311,-0.266793097324,0.293855352798,-0.915069992701,-0.148325655426,0.480111092457,-0.861122211679,-0.303625854015,0.461263163017,-0.829926457421
490,what advice would you give to yourself ten or twenty years ago,573.916,583.92,17368.5,578.916665563,0.959980410596,1.0,-0.12261028957,0.310548311258,-0.939571125828,-0.332164903974,0.3008165,-0.891124102649,-0.172984163907,0.521804043046,-0.831468178808,-0.378433761589,0.470569046358,-0.792875536424
490,who's someone that's been a positive influence in your life,387.242,416.842,12062.0,402.033332958,0.962445375703,1.0,-0.12593909647,0.312522085489,-0.939394341957,-0.290185760405,0.300556370079,-0.90598348369,-0.135976364904,0.453340907762,-0.87733772216,-0.297156466817,0.415160006749,-0.853844509561
490,how would your best friend describe you,504.184,523.87,15422.0,514.033333333,0.964852111675,1.0,-0.142448786768,0.308590109983,-0.937673419628,-0.330192159052,0.316066553807,-0.886734759729,-0.169863477597,0.495589414552,-0.847793604061,-0.357343984518,0.467928969543,-0.803743189509
490,how easy is it for you to get a good night's sleep,418.059,424.9,12645.5,421.483334951,0.96396523301,1.0,-0.12623258301,0.290553213592,-0.947294718447,-0.265480194175,0.280274072816,-0.921215509709,-0.157091708252,0.476450281553,-0.863517184466,-0.294212300971,0.44523618932,-0.844161524272
