video,question,starttime,endtime,frame,timestamp,confidence,success,Tx,Ty,Tz,Rx,Ry,Rz
337,have you been diagnosed with depression,1166.6,1487.13,39807.0,1326.86666632,0.963085836643,1.0,60.4837427264,-28.368633264,517.102930644,0.0101517110941,-0.13161724419,-0.0358139724782
337,is there anything you regret,882.36,994.63,28156.0,938.5,0.965395555061,1.0,59.2952044524,-26.1029617335,512.946376373,-0.0117903959007,-0.0722854349814,-0.0211664731211
337,what are some things that make you really mad,488.57,535.15,15356.5,511.85,0.95399677897,1.0,34.6794509442,-35.0423515737,520.860262518,-0.0109577874709,0.0544556403501,-0.0994111943491
337,have you ever been diagnosed with p_t_s_d,1163.22,1165.91,34938.0,1164.56666667,0.969410703704,1.0,67.3308160494,-27.955637037,521.277160494,-0.0075620483984,-0.10426096237,0.0235440655556
490,what are some things you wish you could change about yourself,525.741,548.778,16118.5,537.25,0.956984813584,1.0,121.54449422,9.39698627746,612.243180636,0.187741244942,-0.0422115398801,0.144268676301
490,tell me about a situation that you wish you had handled differently,196.459,228.294,6372.5,212.383333682,0.969352176778,1.0,90.5236040795,9.45635719665,612.379162134,0.231011141213,0.0830533540795,-0.116495632218
490,what's your dream job,270.149,279.266,8242.0,274.7,0.964604636364,1.0,113.010574545,10.7628316727,606.659690909,0.226903232727,-0.0412430517309,0.0765632610909
490,have you been diagnosed with depression,483.698,486.3,14551.0,485.0,0.966525696203,1.0,121.049455696,6.27426506329,605.088708861,0.1259797,-0.0233233,0.132498911392
490,have you noticed any changes in your behavior or thoughts lately,451.97,477.762,13947.0,464.866667097,0.955543536774,1.0,118.856007742,8.48423764774,610.78428129,0.194684001677,-0.01219737698,0.127692821161
490,tell me about the hardest decision you've ever had to make,230.038,256.37,7297.0,243.2,0.971041501896,1.0,105.144431479,16.1571931985,610.760936789,0.26034021909,-0.0174797991783,-0.00667899895322
490,what's one of your most memorable experiences,136.931,153.873,4363.0,145.4,0.966961726916,1.0,98.0684003929,10.2473147151,610.132021611,0.249671860511,0.050176493831,-0.04305448168
490,have you ever been diagnosed with p_t_s_d,479.51,482.65,14433.0,481.066663158,0.965947915789,1.0,119.418378947,4.48629944211,605.505084211,0.111382536842,-0.008490826,0.132396421053
490,what are you like when you don't sleep well,426.631,433.38,12901.0,430.0,0.966330931034,1.0,118.8241133,9.13748985222,611.923059113,0.207275729064,-0.0275497684729,0.119096157635
490,tell me about an event or something that you wish you could erase from your memory,282.02,304.593,8800.5,293.316666667,0.967748668142,1.0,112.100470501,9.33535929204,606.262042773,0.220909676991,-0.0313692805206,0.0803627004425
490,how are you at controlling your temper,177.697,182.26,5400.5,179.983333333,0.961663615942,1.0,99.7266710145,11.7445234058,605.128485507,0.278632326087,0.0339972485507,-0.00644390706522
491,how are you at controlling your temper,347.86,363.46,10671.0,355.666667377,0.96837010661,1.0,102.530009168,83.0711968017,579.804859275,0.056700771791,-0.0323307245733,0.0814015835821
491,what's one of your most memorable experiences,228.503,259.783,7325.0,244.133333333,0.970543167199,1.0,105.28951278,85.0345541001,580.430107561,0.0598560240401,0.00952325820553,0.025993644536
491,what are you like when you don't sleep well,586.314,592.15,17678.0,589.233333333,0.969164293785,0.994350282486,90.661679096,98.6664570621,451.739655367,0.110376965537,-0.00832637988701,0.123649783559
491,have you been diagnosed with depression,625.59,677.85,19552.5,651.716666454,0.960446433036,0.990433673469,96.1591080995,97.6373606505,449.433183673,0.0985677190906,-0.0429362514745,0.201638819126
491,tell me about a situation that you wish you had handled differently,386.981,435.59,12339.5,411.283333562,0.930390343836,0.968493150685,96.2390924198,110.232135548,453.159136986,0.195889927312,-0.0739428495788,0.232409712882
491,what are some things you wish you could change about yourself,736.103,749.827,22290.0,742.96666586,0.966091990315,1.0,63.273488862,77.5665542373,452.651140436,-0.113962151864,0.00495198007748,0.149535595642
491,tell me about the hardest decision you've ever had to make,492.173,543.28,15532.5,517.716666884,0.959948865059,0.996740547588,96.1077533703,125.715754498,475.258757497,0.0967332497125,-0.0216136281252,0.100870968179
491,what's your dream job,274.854,303.84,8681.5,289.35,0.959433737931,1.0,104.329684483,77.8707748276,578.369937931,-0.0246663350793,-0.0336497412862,0.156729913937
491,tell me about an event or something that you wish you could erase from your memory,544.815,567.25,16682.0,556.033333333,0.872371991111,0.881481481481,128.488591704,140.588757926,535.800211852,0.167270843237,-0.0640721822963,0.155853586842
491,have you ever been diagnosed with p_t_s_d,621.696,624.89,18700.0,623.3,0.973008329897,1.0,86.3683814433,99.9541309278,447.090536082,0.0770738835052,-0.0662208536082,0.209451917526
492,have you noticed any changes in your behavior or thoughts lately,702.251,705.75,21121.0,704.0,0.942800914286,1.0,94.9638914286,89.0708561905,615.172638095,0.11708548,0.120130914762,0.0954715942857
492,what's your dream job,275.713,303.28,8685.5,289.483333333,0.923565991546,1.0,99.4106216184,79.7055958937,620.305938406,0.0486334596147,0.0635895175157,0.111623962681
492,what are some things you wish you could change about yourself,782.281,821.054,24051.0,801.666666953,0.921788649785,1.0,93.3654160515,78.9570471245,609.469072103,0.0553580845494,0.0996203617768,0.04487006634
492,tell me about an event or something that you wish you could erase from your memory,546.893,634.601,17723.5,590.75,0.92755699696,1.0,96.355968541,74.2018628419,609.235131459,0.0173029344864,0.0716598747266,0.0618981623579
492,have you been diagnosed with depression,712.174,714.62,21403.0,713.4,0.943868826667,1.0,96.8692333333,84.9937013333,616.346146667,0.088145184,0.117150530307,0.0870449205333
492,tell me about the hardest decision you've ever had to make,528.722,544.19,16095.0,536.466666667,0.934550931183,1.0,92.0715483871,70.1309825806,607.646296774,0.0152249830108,0.106664822581,0.0547565189247
492,is there anything you regret,822.616,824.29,24704.5,823.45,0.909821442308,1.0,93.1017807692,81.0722269231,608.101057692,0.0676426423077,0.0640813282692,-0.0111215555769
492,how are you at controlling your temper,469.274,494.26,14454.0,481.766667111,0.921308459387,1.0,100.479531158,76.674859787,617.832636485,0.037359138404,0.0361066080479,0.0446607175916
492,have you ever been diagnosed with p_t_s_d,708.664,710.8,21293.0,709.733338462,0.943876246154,1.0,97.5021492308,84.3113276923,614.357661538,0.118401152308,0.101593293846,0.120872853846
492,tell me about a situation that you wish you had handled differently,495.54,527.53,15347.0,511.533332986,0.927667171696,1.0,95.1229993757,73.6893398543,611.419841831,0.0330734329829,0.0996571197607,0.0585015830052
428,tell me about an event or something that you wish you could erase from your memory,262.645,308.03,8561.0,285.333333089,0.96738142113,1.0,48.1313909024,-37.6729630741,588.358333089,0.294606922979,0.0441557394549,0.055730453915
428,what are some things you wish you could change about yourself,513.129,535.49,15730.5,524.316666667,0.946991191964,1.0,42.4868575298,-20.6988457366,576.940066964,0.355407703571,0.0212492883034,0.107013817116
428,have you noticed any changes in your behavior or thoughts lately,422.9,454.92,13168.5,438.91666632,0.957302223493,0.991683991684,23.8513775904,-31.0393694865,585.697515593,0.256557492204,0.0659026815125,0.072755425052
428,have you been diagnosed with depression,461.466,465.06,13899.0,463.266669725,0.970697880734,1.0,37.869133945,-24.9535211009,584.541201835,0.305862669725,-0.0849383834862,0.179700752294
428,tell me about the hardest decision you've ever had to make,310.222,345.348,9834.5,327.783333017,0.957347573055,0.980075901328,19.6173058263,-29.6558934051,602.213520873,0.340287366224,0.0707488072757,-0.113463754068
428,what's your dream job,126.469,136.142,3940.0,131.3,0.942563402062,1.0,71.9015123711,-30.3782587629,578.97461512,0.381724738832,-0.0425827754261,0.179510852234
428,what are you like when you don't sleep well,393.922,417.5,12172.5,405.716666667,0.968895066384,1.0,20.6246999065,-31.8242921751,595.320966102,0.290018975155,0.0534543506031,-0.0628555233475
428,how are you at controlling your temper,194.905,200.496,5932.0,197.7,0.903922284024,0.92899408284,11.4920517396,-28.4496687574,601.015455621,0.340501579882,0.262583043195,-0.236652915385
428,have you ever been diagnosed with p_t_s_d,456.033,460.27,13745.5,458.15,0.969469898438,1.0,34.507259375,-28.6586421875,584.904671875,0.323927328125,-0.0686873476562,0.183871648437
