0.7 0.3,{'normalize': True, 'alpha': 0.031622776601683791},{'normalize': True, 'alpha': 1000.0},6.6466361845,5.6840832915
0.5 0.5,{'normalize': True, 'alpha': 0.031622776601683791},{'normalize': True, 'alpha': 1000.0},6.6476265973,5.7313801403
0.7 0.3,{'normalize': True, 'alpha': 0.031622776601683791},{'normalize': True, 'alpha': 31.622776601683793},6.6481074962,5.6800056457
0.5 0.5,{'normalize': True, 'alpha': 0.031622776601683791},{'normalize': True, 'alpha': 31.622776601683793},6.6498894893,5.7238608913
0.5 0.5,{'normalize': True, 'alpha': 0.001},{'normalize': True, 'alpha': 1000.0},6.650064322,5.7082563241
0.5 0.5,{'normalize': True, 'alpha': 0.001},{'normalize': True, 'alpha': 31.622776601683793},6.6522568509,5.7007663712
0.3 0.7,{'normalize': True, 'alpha': 0.001},{'normalize': True, 'alpha': 1000.0},6.6560026594,5.7739989619
0.7 0.3,{'normalize': True, 'alpha': 0.001},{'normalize': True, 'alpha': 1000.0},6.6566155692,5.6567861367
0.3 0.7,{'normalize': True, 'alpha': 0.031622776601683791},{'normalize': True, 'alpha': 1000.0},6.6573544648,5.7899761079
0.7 0.3,{'normalize': True, 'alpha': 0.001},{'normalize': True, 'alpha': 31.622776601683793},6.6580263177,5.6527394554
0.3 0.7,{'normalize': True, 'alpha': 0.001},{'normalize': True, 'alpha': 31.622776601683793},6.6588442691,5.7625153302
0.3 0.7,{'normalize': True, 'alpha': 0.031622776601683791},{'normalize': True, 'alpha': 31.622776601683793},6.6602538366,5.7784746745
0.7 0.3,{'normalize': True, 'alpha': 0.031622776601683791},{'normalize': True, 'alpha': 1.0},6.6740938097,5.6163955144
0.7 0.3,{'normalize': True, 'alpha': 0.001},{'normalize': True, 'alpha': 1.0},6.6832209752,5.5902012484
0.5 0.5,{'normalize': True, 'alpha': 1.0},{'normalize': True, 'alpha': 1000.0},6.6836006938,5.8140640954
0.3 0.7,{'normalize': True, 'alpha': 1.0},{'normalize': True, 'alpha': 1000.0},6.6836410208,5.8449008919
0.5 0.5,{'normalize': True, 'alpha': 1.0},{'normalize': True, 'alpha': 31.622776601683793},6.6858537359,5.8059685072
0.7 0.3,{'normalize': True, 'alpha': 1.0},{'normalize': True, 'alpha': 1000.0},6.6859793182,5.7871103895
0.3 0.7,{'normalize': True, 'alpha': 1.0},{'normalize': True, 'alpha': 31.622776601683793},6.686530948,5.8329363337
0.7 0.3,{'normalize': True, 'alpha': 0.031622776601683791},{'normalize': True, 'alpha': 0.031622776601683791},6.6866419747,5.5078134545
0.7 0.3,{'normalize': True, 'alpha': 1.0},{'normalize': True, 'alpha': 31.622776601683793},6.6874439273,5.782528991
0.7 0.3,{'normalize': True, 'alpha': 0.031622776601683791},{'normalize': True, 'alpha': 0.001},6.6888017238,5.4921719393
0.3 0.7,{'normalize': True, 'alpha': 31.622776601683793},{'normalize': True, 'alpha': 1000.0},6.6910149921,5.8928131294
0.3 0.7,{'normalize': True, 'alpha': 1000.0},{'normalize': True, 'alpha': 1000.0},6.6918258392,5.8980577287
0.5 0.5,{'normalize': True, 'alpha': 31.622776601683793},{'normalize': True, 'alpha': 1000.0},6.6930324339,5.8893133546
0.5 0.5,{'normalize': True, 'alpha': 0.031622776601683791},{'normalize': True, 'alpha': 1.0},6.693335232,5.6137217096
0.3 0.7,{'normalize': True, 'alpha': 31.622776601683793},{'normalize': True, 'alpha': 31.622776601683793},6.6935267172,5.8799811969
0.3 0.7,{'normalize': True, 'alpha': 1000.0},{'normalize': True, 'alpha': 31.622776601683793},6.6942674034,5.8851073824
0.5 0.5,{'normalize': True, 'alpha': 1000.0},{'normalize': True, 'alpha': 1000.0},6.694305526,5.8979928135
0.5 0.5,{'normalize': True, 'alpha': 0.001},{'normalize': True, 'alpha': 1.0},6.6947922522,5.5918172926
0.5 0.5,{'normalize': True, 'alpha': 31.622776601683793},{'normalize': True, 'alpha': 31.622776601683793},6.6948359412,5.8801727708
0.7 0.3,{'normalize': True, 'alpha': 31.622776601683793},{'normalize': True, 'alpha': 1000.0},6.6951816857,5.8859411891
