Feature,P-value,F-value
root_deps,0.1273787627379237,2.3273399137579251
levels,0.28643377776286916,1.1373061893142657
u_tag,0.043838632266534748,4.0712297913602731
x_tag,0.32016143175516654,0.98909470699374213
avg_wordlen,0.37405803337165033,0.79072065553069215
numb_words,nan,nan
dep_dist,0.94669290561727415,0.0044721470460827714
word0,0.050713113452671821,3.8252906280392516
word1,0.034643970056147909,4.4726693894307354
word2,0.8089224703948964,0.058500581624655573
word3,0.16943160338662919,1.8902073295646085
word4,0.72590210519307252,0.12296432303437189
word5,0.63182019394448563,0.22971654760607246
word6,0.25813158166132505,1.2799480327552573
word7,0.17311653639365601,1.8579255885381427
word8,0.64978547991707636,0.20627288807357522
word9,0.79953816541975165,0.064516196512578949
word10,0.52289979563477029,0.4084062562193464
word11,0.61335032890899077,0.2554566703935669
word12,0.16647632644007163,1.9166852022146328
word13,0.11167869220921192,2.5339780968117767
word14,0.8131930799468583,0.055866065380999683
word15,0.13875221542912045,2.1946200028538234
word16,0.69715295542525646,0.15152226072357786
word17,0.46093722186380781,0.54396277597272735
word18,0.12249670360733868,2.3884250582264812
word19,0.12531819389387053,2.3527989795290298
word20,0.84025868910613877,0.040644853821106178
word21,0.079207804025042558,3.086254786709254
word22,0.7241807639327742,0.1245796194358474
word23,0.46133351512312371,0.54300144121403937
word24,0.60706375451975825,0.26461030656798901
word25,0.17959627629541181,1.8030359745771365
word26,0.76828646976254855,0.086837946308243083
word27,0.033524533028663872,4.5290529040222642
word28,0.13210667796702105,2.2706198153293302
word29,0.038569607807643229,4.2890223841937738
word30,0.51201846872608492,0.43019252708443551
word31,0.22624518877481889,1.465796269905508
word32,0.34700169011137361,0.88507661338636856
word33,0.022043616138703089,5.2558090207884982
word34,0.40839004728090633,0.6839556568720585
word35,0.026657730896081946,4.9247987729848601
word36,0.3484842153058999,0.87964793346422188
word37,0.54667586684052971,0.36350958467987526
word38,0.31002163419176926,1.0314439202151773
word39,0.68290464427457831,0.16695448469965968
word40,0.69305932144788329,0.15586741777374069
word41,0.075880652906188825,3.1563762227241057
word42,0.68292490371874082,0.16693192311498975
word43,0.1126364367125282,2.5204756999636104
word44,0.9379220540077694,0.0060680869189186845
word45,0.79925541169015069,0.064702309040768721
word46,0.58510292864866176,0.29821624891161758
word47,0.47919284857153077,0.5010085273810938
word48,0.99777615505448047,7.77156423362434e-06
word49,0.039710687135196834,4.2393074891765377
word50,0.10595464422077758,2.6174298176003252
word51,0.023727551611982763,5.1273094699457236
word52,0.16279166214071406,1.9504624748489472
word53,0.48758364534479648,0.48214766976142087
word54,0.7282495273545877,0.12078057228474953
word55,0.71885058889841003,0.12965683422195176
word56,0.21531961677318373,1.5368946455987136
word57,0.51346637724764843,0.42724700985539171
word58,0.71826339032067832,0.13022316880933346
word59,0.48994772096361461,0.47693036921290088
word60,0.12945508761107771,2.302146085732856
word61,0.40836582827519308,0.68402636473351064
word62,0.58961512946859873,0.29110008178954733
word63,0.69166775816565695,0.15736065958542586
word64,0.40142149602798716,0.70455715987377798
word65,0.21876809797316518,1.5139961135434044
word66,0.65860940134901957,0.19531309087384255
word67,0.77956204004261809,0.078373024501882632
word68,0.28824216078386899,1.1288002935848049
word69,0.59939234674741626,0.27605803702704784
word70,0.37205936755685542,0.79736342029549234
word71,0.94371783494730843,0.0049861123704708172
word72,0.38120577361229746,0.76736673283685441
word73,0.06079248514557694,3.5221628263088753
word74,0.30820570092525312,1.0392193731840988
word75,0.19192829520160068,1.7046456902821803
word76,5.983511982601387e-05,16.221633402865958
word77,0.085512436120328272,2.9616997009693287
word78,0.94194912961628008,0.0053049843847483742
word79,0.99555532277818837,3.1044399057941744e-05
word80,0.85723388745290885,0.032376450623458217
word81,0.92896910305188363,0.0079495776306778305
word82,0.37546150233873088,0.78608575818507453
word83,0.33561219488602667,0.9278553123466714
word84,0.75875410988916958,0.094363437342752182
word85,0.87651641053055285,0.0241552111008905
word86,0.029373891025755196,4.7567874418427163
word87,0.0043068059826518864,8.1804275920161924
word88,0.31992212030450373,0.99007384446088909
word89,0.079188467959070349,3.0866530714765377
word90,0.60006193789427154,0.2750465310722548
word91,0.8984027569985672,0.016308816818578799
word92,0.028033565676348973,4.8375737963061924
word93,0.30829933573749491,1.0388169925714228
word94,0.58877799086192106,0.2924119329315984
word95,0.81053966801550814,0.057495390580683113
word96,0.49900140139077964,0.45733329549989937
word97,0.84745368069893845,0.037021352703598326
word98,0.53969390964947772,0.37632008043476128
word99,0.7391383141259793,0.11093606531771957
coherence,0.11164781044573795,2.5344155935445634
1function_(Function_Words),0.45124858400381007,0.56787939298199108
2pronoun_(Pronouns),0.17468011749561849,1.8444660546887635
3ppron_(Personal_Pronouns),0.31931936336364342,0.99254428810682205
4i_(I),0.92975215921795917,0.0077748160640505794
5we_(We),0.15682706452520251,2.007034139828769
6you_(You),0.012445099092329033,6.2649648601877441
7shehe_(SheHe),0.90820964023274708,0.013298955630979714
8they_(They),0.48223372988002822,0.49411077040213819
9ipron_(Impersonal_Pronouns),0.42609670023943447,0.63386420598577486
10article_(Articles),0.22051950756867977,1.5025308317825667
11prep_(Prepositions),0.18650726292838712,1.7469639039891618
12auxverb_(Auxiliary_Verbs),0.95477770477065083,0.0032171367197928913
13adverb_(Adverbs),0.65013897874822368,0.20582689368776447
14conj_(Conjunctions),0.89239693354222871,0.018306133005173517
15negate_(Negations),0.92736941464754652,0.0083126806454819971
othergram_(Other_Grammar),0.17825083661724894,1.8142429821245729
20verb_(Verbs),0.25122564837356953,1.3177288738773618
21adj_(Adjectives),0.14252239844726755,2.1532978329333519
22compare_(Comparisons),0.06699875860490262,3.3610713616003016
23interrog_(Interrogatives),0.15067254954126336,2.0680324570899828
24number_(Numbers),0.78095535672182081,0.077359526118109964
25quant_(Quantifiers),0.1483437647495314,2.0918538210527267
30affect_(Affect),0.87396177278010634,0.025173521258363508
31posemo_(Positive_Emotions),0.019785084345849736,5.4451344665408028
32negemo_(Negative_Emotions),0.68721297597145958,0.16219650881080161
33anx_(Anx),0.38032218072214574,0.77022012634510095
34anger_(Anger),0.0043246697461462825,8.1728681114676984
35sad_(Sad),0.99559330614597064,3.051606178466328e-05
40social_(Social),0.55997608961625389,0.33993269842373458
41family_(Family),0.50141289005608791,0.45221441103617643
42friend_(Friends),0.60477922263868522,0.26798726389717559
43female_(Female),0.82333939303952264,0.049862952459650042
44male_(Male),0.022861983944488601,5.1921332604050887
50cogproc_(Cognitive_Processes),0.0064288908716953978,7.451748037513398
51insight_(Insight),0.11716450085692107,2.4583094331371704
52cause_(Causal),0.89583046366210217,0.01714990260866775
53discrep_(Discrepancies),0.75604695571387803,0.096563060880276635
54tentat_(Tentative),0.030145611567609261,4.7119989627830519
55certain_(Certainty),0.76782598125658152,0.087193665147995869
56differ_(Differentiation),0.24162000577919115,1.3724540003496841
60percept_(Perceptual_Processes),0.23830028127671979,1.3919877038406736
61see_(See),0.70185506548940035,0.14661831067637493
62hear_(Hear),0.58773882754047457,0.29404567776713986
63feel_(Feel),0.17874338034226378,1.8101289593845868
70bio_(Biological_Processes),0.12993443636823973,2.2963937489551385
71body_(Body),0.065996520911505874,3.3859786210746656
72health_(Health),0.29892341029606101,1.0799130993634507
73sexual_(Sexual),0.5420356087227628,0.37198961556540944
74ingest_(Ingest),0.62379713229141232,0.24068932628165654
80drives_(Drives),0.21796216309463848,1.5193089199820071
81affiliation_(Affiliation),0.76497232906400148,0.089415711558095523
82achieve_(Achievement),0.73472516802547849,0.11486973396030696
83power_(Power),0.96924951869060372,0.0014866800557007864
84reward_(Reward),0.21457122075618901,1.5419218741700187
85risk_(Risk),0.60809833604712726,0.26308990905038732
timeorient_(Time_Orientation),0.10028967041597675,2.7050424633906114
90focuspast_(Past_Focus),0.62586507454142737,0.23783079717468933
91focuspresent_(Present_Focus),0.27251366924055409,1.2051412695339365
