Feature,P-value,F-value
frame,0.00011265244498813388,14.968558941249311
timestamp,0.00011265253774454502,14.968557376444577
confidence,0.00012236848411806099,14.811384037887594
success,0.5613833702618638,0.3374221841687991
X0,5.6435460633373958e-05,16.28540515379985
X1,4.2875718971442805e-05,16.810619636623418
X2,3.0254406253462594e-05,17.478318729428182
X3,2.2598871444836983e-05,18.038068787513165
X4,1.6000689929831293e-05,18.701700882205511
X5,1.1483629490615436e-05,19.340424540608769
X6,1.1188718444496219e-05,19.390566874549222
X7,7.2669886187135643e-06,20.223277005073093
X8,7.0745222383448298e-06,20.275126852127784
X9,1.15212945363031e-05,19.334113930680815
X10,4.1952399105277731e-05,16.852268155223406
X11,0.00018645016103121259,14.012852770165701
X12,0.00061800769212590786,11.756548713814579
X13,0.0012467775598187061,10.448118244290157
X14,0.0017279189121315549,9.8435754818770249
X15,0.0021636101014805981,9.4286482989458502
X16,0.0030746838895361773,8.7830332613813695
X17,2.9953828394489564e-05,17.497460213090758
X18,2.7966140753337408e-05,17.629122488263853
X19,2.7493744272871878e-05,17.661797640926022
X20,2.5085731671342936e-05,17.837655642996811
X21,1.8991560584525355e-05,18.372171475061467
X22,6.2647083010097167e-05,16.086071558974322
X23,8.2383499419464091e-05,15.563930644488524
X24,0.00010691178231626165,15.067978192415257
X25,0.00012424615684496527,14.782463756980048
X26,0.00016203050076041685,14.278741519437341
X27,2.5118766433005683e-05,17.835130087244288
X28,1.6505993624576093e-05,18.641889164359135
X29,1.0548201172997666e-05,19.504208455837034
X30,6.6924749627789098e-06,20.382386300851479
X31,1.4676865444268494e-05,18.867883851057034
X32,1.1162689992775316e-05,19.395055985195118
X33,8.3926867261095955e-06,19.945195065946322
X34,6.8187563560369445e-06,20.346266861059632
X35,6.1087641879150163e-06,20.558763697446004
X36,2.9801713569998721e-05,17.507220991012925
X37,3.2921906588258395e-05,17.316377243709557
X38,3.3867429108808476e-05,17.262127508851886
X39,3.1449680304343116e-05,17.40404822126029
