video,question,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler
616,tell me about the hardest decision you've ever had to make,0.42857142857142855,0.142857143,0.142857143,0.142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.19047619042857142,0.09523809514285715,0.047619047571428576,0.0,0.0,0.14285714271428573,0.095238095,0.095238095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047428571426,0.047619047428571426,0.0,0.047619047428571426,0.0,0.14285714271428573,0.047619047571428576,0.047619047571428576,0.0,0.0,0.047619047571428576,0.0,0.047619047571428576,0.0,0.0,0.047619047571428576,0.0,0.0,0.0,0.0,0.0,0.047619047428571426,0.0,0.0,0.047619047428571426,0.0,0.0,0.047619047571428576,0.09523809514285715,0.0,0.142857143,0.0,0.047619047428571426,0.095238095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
446,what are some things you wish you could change about yourself,0.4246575343424658,0.1917808220410959,0.12328767120547945,0.12328767120547945,0.0,0.0,0.0,0.0,0.06849315083561643,0.041095890424657534,0.0136986301369863,0.10958904098630137,0.027397260342465753,0.054794520520547944,0.0,0.10958904102739726,0.054794520561643835,0.041095890424657534,0.0,0.01369863004109589,0.06849315071232877,0.027397260260273972,0.027397260260273972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17808219163013697,0.013698630150684933,0.041095890356164386,0.06849315080821917,0.041095890465753425,0.02739726032876712,0.01369863004109589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0684931507671233,0.04109589045205479,0.027397260356164386,0.09589041100000001,0.041095890356164386,0.027397260287671234,0.027397260356164386,0.013698630205479451,0.0,0.0,0.0,0.0,0.0,0.041095890383561644,0.0,0.0,0.0,0.041095890383561644,0.0
653,tell me about a situation that you wish you had handled differently,0.2999999997,0.1999999998,0.0999999999,0.0999999999,0.0,0.0,0.0,0.0,0.0999999999,0.0,0.0,0.0999999999,0.0,0.0,0.0999999999,0.1999999998,0.0,0.0,0.0,0.0,0.0999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0999999999,0.0,0.0,0.0,0.0,0.2999999997,0.0,0.0,0.0999999999,0.1999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0999999999,0.0,0.0999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
664,what's something you feel guilty about,0.4266666666133334,0.16666666667333332,0.13333333332666666,0.09333333332,0.0,0.03333333334666667,0.0,0.00666666666,0.03333333334666667,0.04000000007333334,0.09999999992,0.05999999995333333,0.046666666653333334,0.06666666670666667,0.006666666666666667,0.13333333335333333,0.08000000006666667,0.05333333336666667,0.013333333333333334,0.0,0.0,0.053333333360000006,0.04666666669333334,0.006666666666666667,0.006666666666666667,0.0,0.0,0.0733333333,0.006666666599999999,0.006666666599999999,0.0,0.013333333346666669,0.13999999992,0.09999999998,0.013333333340000001,0.006666666666666667,0.013333333333333334,0.0066666667,0.02666666666666667,0.03333333334,0.013333333333333334,0.0,0.020000000006666668,0.02666666666666667,0.013333333333333334,0.013333333333333334,0.0,0.0,0.09999999999333334,0.013333333346666669,0.06666666663333333,0.013333333346666665,0.03333333336,0.0,0.013333333373333334,0.11999999999333333,0.0066666667,0.05333333337333334,0.006666666666666667,0.020000000033333333,0.03333333334,0.026666666673333336,0.0,0.0,0.0,0.0,0.0,0.033333333306666664,0.0,0.006666666673333334,0.0,0.026666666633333332,0.0
378,what's something you feel guilty about,0.4666666664,0.1333333336,0.06666666639999999,0.06666666639999999,0.0,0.0,0.0,0.0,0.06666666639999999,0.06666666639999999,0.1333333336,0.06666666639999999,0.06666666639999999,0.06666666639999999,0.06666666639999999,0.2,0.06666666639999999,0.0,0.0,0.0,0.0,0.06666666639999999,0.0,0.06666666639999999,0.06666666639999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26666666640000003,0.1333333336,0.0,0.06666666639999999,0.1333333336,0.0,0.06666666639999999,0.06666666639999999,0.0,0.0,0.06666666639999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.1333333336,0.0,0.06666666639999999,0.06666666639999999,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666660000001,0.0,0.06666666660000001,0.0,0.06666666660000001,0.0
326,how have you been feeling lately,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
464,how have you been feeling lately,0.40476190455952377,0.1666666666190476,0.11904761905952381,0.1071428571547619,0.0,0.011904761904761904,0.0,0.0,0.04761904755952381,0.02380952375,0.11904761898809524,0.10714285716666667,0.023809523821428574,0.0,0.011904761892857144,0.1785714285,0.023809523821428574,0.0357142856547619,0.011904761916666668,0.0,0.02380952375,0.035714285726190474,0.035714285726190474,0.0,0.0,0.0,0.0,0.023809523738095237,0.0,0.0,0.0,0.0,0.11904761898809524,0.047619047547619045,0.011904761892857144,0.0,0.03571428571428571,0.02380952383333333,0.0,0.03571428571428571,0.0,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.011904761892857144,0.0,0.011904761892857144,0.0,0.0,0.0,0.023809523797619046,0.11904761907142858,0.0,0.09523809523809523,0.0,0.0833333333452381,0.011904761892857144,0.0,0.0,0.0,0.023809523821428574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
338,have you ever been diagnosed with p_t_s_d,0.5,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
453,what sort of changes have you noticed since you've been going to therapy,0.5468749998984375,0.2343750000546875,0.1093750000234375,0.1093750000234375,0.0,0.0,0.0,0.0,0.12500000003125,0.0390624998984375,0.0624999998828125,0.1015625,0.07031250003125,0.07031250003125,0.0312499999140625,0.2031250000859375,0.031250000015625,0.007812499968749999,0.015625,0.0,0.015624999921875,0.0468750000390625,0.0234374999296875,0.0078125000078125,0.0078125000078125,0.0,0.0,0.007812499968749999,0.0,0.0,0.0,0.0,0.1406249999609375,0.03125,0.023437499921875,0.0,0.031249999937500002,0.007812499921875,0.0625000000234375,0.0234374999296875,0.015624999929687501,0.0,0.0078125,0.015624999921875,0.0,0.015624999921875,0.0,0.0,0.0468749999375,0.0,0.0078125,0.007812499921875,0.031250000015625,0.0,0.05468750003125,0.1484375000546875,0.0,0.05468749996875,0.0078125,0.031249999960937497,0.0156250000078125,0.023437499921875,0.0,0.0,0.0,0.0,0.0,0.0078125,0.0,0.0,0.0078125,0.0,0.0
659,tell me about the hardest decision you've ever had to make,0.5238095235714285,0.14285714285714285,0.07142857133333333,0.07142857133333333,0.0,0.0,0.0,0.0,0.07142857119047619,0.07142857133333333,0.09523809519047619,0.09523809516666666,0.095238095,0.0476190475,0.0,0.19047619016666664,0.023809523666666665,0.023809523666666665,0.023809523666666665,0.0,0.0,0.0714285715238095,0.04761904766666666,0.023809523857142856,0.0,0.023809523857142856,0.0,0.04761904752380952,0.023809523666666665,0.0,0.0,0.0,0.07142857133333333,0.07142857133333333,0.0,0.0,0.0,0.0,0.0,0.023809523666666665,0.0,0.0,0.023809523666666665,0.0,0.0,0.0,0.0,0.0,0.04761904752380952,0.023809523666666665,0.0,0.0,0.0,0.023809523857142856,0.09523809516666666,0.07142857133333333,0.02380952383333333,0.19047619052380954,0.07142857133333333,0.023809523666666665,0.11904761919047618,0.0,0.0,0.0,0.0,0.0,0.0,0.02380952383333333,0.0,0.02380952383333333,0.0,0.0,0.0
