Questions,Annotations
do you consider yourself an introvert,P
do you consider yourself and introvert,P
do you consider yourself more shy or outgoing,P
have you been diagnosed with depression,N
have you ever been diagnosed with p_t_s_d,N
have you noticed any changes in your behavior or thoughts lately,N
how are you at controlling your temper,N
how close are you to your family,P
how easy is it for you to get a good night sleep,P
how easy is it for you to get a good night's sleep,P
how have you been feeling lately,P
how would you best friend describe you,P
how would your best friend describe you,P
i love my job you could almost say it's virtually made for me what's your dream job,P
is there anything you regret,N
sometimes when i'm feeling tense i turn on the fish tank screensaver hey i know it's not hawaii but it's the best i've got what do you do to relax,P
tell me about a situation that you wish you had handled differently,N
tell me about an event or something that you wish you could erase from your memory,N
tell me about something you did recently that you really enjoyed,P
tell me about the hardest decision you've ever had to make,N
tell me about the last time you felt really happy,P
tell me about your relationship with your family,P
uh huh uh huh uh huh is there anything you regret is there anything you regret,N
what advice would you give to yourself ten or twenty years ago,P
what advice would you give yourself ten or twenty years ago,P
what are some things that make you really mad,N
what are some things you like to do for fun who's someone that's been a positive influence in your life,P
what are some things you wish you could change about yourself,N
what are you like when you don't sleep well,N
what are you most proud of in your life,P
what do you do to relax,P
what would you say are some of your best qualities,P
what's one of your most memorable experiences,N
what's something you feel guilty about,P
what's your dream job,N
when was the last time you argued with someone and what was it about,P
when was the last time you felt really happy,P
who's someone that's been a positive influence in  your life,P
who's someone that's been a positive influence in your life,P
