Question,Not depressed,Depressed,(In)distinguish,Madhu's change,Q POLARITY
do you consider yourself an introvert, ,,Non,Non,neutral
do you consider yourself more shy or outgoing,goes either way - neutral too,mostly shy - but neutral,Non,Non,neutral
have you been diagnosed with depression,Very distinguishing - positive,negative,Dist,Dist,negative
have you ever been diagnosed with p_t_s_d,Vey distinguishing - positive,negative,Dist,Dist,negative
have you noticed any changes in your behavior or thoughts lately,neutral,neutral,Non,Non,neutral
how are you at controlling your temper,pretty positive,positive or neutral,Non,Non,negative
how close are you to your family,,,Dist,Non,neutral
how easy is it for you to get a good night's sleep,Negative or positive,negative or positive,Non,Non,neutral
how have you been feeling lately,positive,negative,Dist,Dist,neutral
how would your best friend describe you,Pretty positive,pretty positive,Non,Non,positive
is there anything you regret,Pretty positive,negative and shorter,Dist,Dist,negative
tell me about a situation that you wish you had handled differently,negative,negative,Non,Dist,negative
tell me about an event or something that you wish you could erase from your memory,negative,negative,Non,Dist,negative
tell me about something you did recently that you really enjoyed,positive,positive,Non,Non,positive
tell me about the hardest decision you've ever had to make,negative,neutral - negative,Non,Dist,negative
tell me about the last time you felt really happy,He seems fine -positive,He seems fine too -positive,Non,Non,positive
tell me about your relationship with your family,positive,negative,Dist,Non,neutral
what advice would you give to yourself ten or twenty years ago,Very positive,Short answers-neutral or negative,Non,Non,negative
what are some things that make you really mad,negative,negative,Non,Non,negative
what are some things you wish you could change about yourself,neutral - negative,neutral - negative,Non,Dist,negative
what are you like when you don't sleep well,neutral,negative,Non,Non,negative
what are you most proud of in your life,Positive,neutral or very negative,Dist,Non,positive
what do you do to relax,Pretty positive,neutral or very short,Non,Non,neutral
what would you say are some of your best qualities,positive,positive,Non,Non,positive
what's one of your most memorable experiences,positive,neutral or negative,Dist,Non,positive
what's something you feel guilty about,positive 1 negative, negative,Dist,Dist,negative
what's your dream job,neutral,neutral,Non,Non,positive
when was the last time you argued with someone and what was it about,Normal -pretty positive about it,"Neutral - some are ok, some are negative ish",Non,Non,negative
who's someone that's been a positive influence in your life,positive,positive,Non,Non,positive
