Feature		P-value		F-value
root_deps		0.127378762738		2.32733991376
levels		0.286433777763		1.13730618931
u_tag		0.0438386322665		4.07122979136
x_tag		0.320161431755		0.989094706994
avg_wordlen		0.374058033372		0.790720655531
numb_words		nan		nan
dep_dist		0.946692905617		0.00447214704608
word0		0.0507131134527		3.82529062804
word1		0.0346439700561		4.47266938943
word2		0.808922470395		0.0585005816247
word3		0.169431603387		1.89020732956
word4		0.725902105193		0.122964323034
word5		0.631820193944		0.229716547606
word6		0.258131581661		1.27994803276
word7		0.173116536394		1.85792558854
word8		0.649785479917		0.206272888074
word9		0.79953816542		0.0645161965126
word10		0.522899795635		0.408406256219
word11		0.613350328909		0.255456670394
word12		0.16647632644		1.91668520221
word13		0.111678692209		2.53397809681
word14		0.813193079947		0.055866065381
word15		0.138752215429		2.19462000285
word16		0.697152955425		0.151522260724
word17		0.460937221864		0.543962775973
word18		0.122496703607		2.38842505823
word19		0.125318193894		2.35279897953
word20		0.840258689106		0.0406448538211
word21		0.079207804025		3.08625478671
word22		0.724180763933		0.124579619436
word23		0.461333515123		0.543001441214
word24		0.60706375452		0.264610306568
word25		0.179596276295		1.80303597458
word26		0.768286469763		0.0868379463082
word27		0.0335245330287		4.52905290402
word28		0.132106677967		2.27061981533
word29		0.0385696078076		4.28902238419
word30		0.512018468726		0.430192527084
word31		0.226245188775		1.46579626991
word32		0.347001690111		0.885076613386
word33		0.0220436161387		5.25580902079
word34		0.408390047281		0.683955656872
word35		0.0266577308961		4.92479877298
word36		0.348484215306		0.879647933464
word37		0.546675866841		0.36350958468
word38		0.310021634192		1.03144392022
word39		0.682904644275		0.1669544847
word40		0.693059321448		0.155867417774
word41		0.0758806529062		3.15637622272
word42		0.682924903719		0.166931923115
word43		0.112636436713		2.52047569996
word44		0.937922054008		0.00606808691892
word45		0.79925541169		0.0647023090408
word46		0.585102928649		0.298216248912
word47		0.479192848572		0.501008527381
word48		0.997776155054		7.77156423362e-06
word49		0.0397106871352		4.23930748918
word50		0.105954644221		2.6174298176
word51		0.023727551612		5.12730946995
word52		0.162791662141		1.95046247485
word53		0.487583645345		0.482147669761
word54		0.728249527355		0.120780572285
word55		0.718850588898		0.129656834222
word56		0.215319616773		1.5368946456
word57		0.513466377248		0.427247009855
word58		0.718263390321		0.130223168809
word59		0.489947720964		0.476930369213
word60		0.129455087611		2.30214608573
word61		0.408365828275		0.684026364734
word62		0.589615129469		0.29110008179
word63		0.691667758166		0.157360659585
word64		0.401421496028		0.704557159874
word65		0.218768097973		1.51399611354
word66		0.658609401349		0.195313090874
word67		0.779562040043		0.0783730245019
word68		0.288242160784		1.12880029358
word69		0.599392346747		0.276058037027
word70		0.372059367557		0.797363420295
word71		0.943717834947		0.00498611237047
word72		0.381205773612		0.767366732837
word73		0.0607924851456		3.52216282631
word74		0.308205700925		1.03921937318
word75		0.191928295202		1.70464569028
word76		5.9835119826e-05		16.2216334029
word77		0.0855124361203		2.96169970097
word78		0.941949129616		0.00530498438475
word79		0.995555322778		3.10443990579e-05
word80		0.857233887453		0.0323764506235
word81		0.928969103052		0.00794957763068
word82		0.375461502339		0.786085758185
word83		0.335612194886		0.927855312347
word84		0.758754109889		0.0943634373428
word85		0.876516410531		0.0241552111009
word86		0.0293738910258		4.75678744184
word87		0.00430680598265		8.18042759202
word88		0.319922120305		0.990073844461
word89		0.0791884679591		3.08665307148
word90		0.600061937894		0.275046531072
word91		0.898402756999		0.0163088168186
word92		0.0280335656763		4.83757379631
word93		0.308299335737		1.03881699257
word94		0.588777990862		0.292411932932
word95		0.810539668016		0.0574953905807
word96		0.499001401391		0.4573332955
word97		0.847453680699		0.0370213527036
word98		0.539693909649		0.376320080435
word99		0.739138314126		0.110936065318
coherence		0.111647810446		2.53441559354
1function_(Function_Words)		0.451248584004		0.567879392982
2pronoun_(Pronouns)		0.174680117496		1.84446605469
3ppron_(Personal_Pronouns)		0.319319363364		0.992544288107
4i_(I)		0.929752159218		0.00777481606405
5we_(We)		0.156827064525		2.00703413983
6you_(You)		0.0124450990923		6.26496486019
7shehe_(SheHe)		0.908209640233		0.013298955631
8they_(They)		0.48223372988		0.494110770402
9ipron_(Impersonal_Pronouns)		0.426096700239		0.633864205986
10article_(Articles)		0.220519507569		1.50253083178
11prep_(Prepositions)		0.186507262928		1.74696390399
12auxverb_(Auxiliary_Verbs)		0.954777704771		0.00321713671979
