Feature,P-value,F-value
frame,0.00011265244498813388,14.968558941249311
timestamp,0.00011265253774454502,14.968557376444577
confidence,0.00012236848411806099,14.811384037887594
success,0.5613833702618638,0.3374221841687991
x_0,1.7554018752305605e-06,22.976055056207894
y_0,0.19711979326289913,1.6646429183749691
z_0,0.25477092953886921,1.2976611602042825
x_1,0.025930217402622479,4.9677203377848373
y_1,0.80504870575537313,0.060934768456744684
z_1,0.070965297537477448,3.2638637528178167
x_h0,0.89319159429597872,0.018031951673993005
y_h0,2.3925390201949998e-09,35.937344911475975
z_h0,0.00010995487668714784,15.014624917591576
x_h1,0.042064329173660819,4.1376735765520936
y_h1,4.8255949229574649e-07,25.491962367541628
z_h1,0.001764926152192625,9.8044145707504988
