Feature		P-value		F-value
frametime		7.35252205536e-05		15.7788016204
Face X		3.82986049918e-10		39.5642640582
Face Y		0.198811777105		1.65209394286
Face Width		1.73707696727e-11		45.733987623
Face Height		1.73727368612e-11		45.7337611059
angerEvidence		0.989648221668		0.000168373826486
contemptEvidence		1.13321539255e-05		19.363198826
disgustEvidence		0.389060492515		0.742175113105
joyEvidence		0.00847711280446		6.94252031723
fearEvidence		0.799105922157		0.0647884233061
baselineEvidence		0.794481169373		0.0678749397949
sadnessEvidence		1.03098975767e-06		24.0071376249
surpriseEvidence		0.146447825479		2.11038215083
confusionEvidence		0.0317119650043		4.61999428903
frustrationEvidence		0.145792722		2.11725253109
AU1Evidence		0.00557133959279		7.69941927037
AU2Evidence		0.033650159793		4.51814681533
AU4Evidence		0.5442262497		0.367879131779
AU5Evidence		4.51072053317e-06		21.1420808903
AU6Evidence		0.175570135206		1.83593069891
AU7Evidence		0.376681020652		0.781827690778
AU9Evidence		0.589842241579		0.290677414114
AU10Evidence		0.00321718274928		8.6994690281
AU12Evidence		0.0173960812716		5.66467885385
AU14Evidence		1.48997881365e-07		27.7856734554
AU15Evidence		0.772040285579		0.0839512656631
AU17Evidence		3.8680586476e-07		25.9190783964
AU18Evidence		0.0293782916669		4.7516164769
AU20Evidence		0.0399609172859		4.22463884131
AU23Evidence		0.0286363308671		4.79575971551
AU24Evidence		3.49624428426e-06		21.6353819425
AU25Evidence		0.00584163882333		7.61363980857
AU26Evidence		0.00799034667131		7.04872289
AU28Evidence		0.000707692681644		11.5020580734
AU43Evidence		6.5636619941e-06		20.4168192637
hasGlassesEvidence		2.69258961453e-06		22.1416717361
isMaleEvidence		4.65031803541e-08		30.0713575559
