video,question,starttime,endtime,frame,timestamp,confidence,success,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,y0,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30,y31,y32,y33,y34,y35,y36,y37,y38,y39,y40,y41,y42,y43,y44,y45,y46,y47,y48,y49,y50,y51,y52,y53,y54,y55,y56,y57,y58,y59,y60,y61,y62,y63,y64,y65,y66,y67
337,have you been diagnosed with depression,1166.6,1487.13,39807.0,1326.86666632,0.963085836643,1.0,595.72647884,598.753733389,604.106480399,611.924436519,627.935765935,655.43436893,692.266350941,731.417761672,766.984552251,796.98833628,821.90179661,844.991073828,864.342292399,876.751023604,882.527065821,885.009830093,885.230556618,632.262825621,652.949541853,679.907234793,707.104705106,732.630898097,780.698212124,803.381933451,825.717983155,848.256157534,865.472362067,759.073465218,762.316704794,765.649000624,769.045757409,736.535795986,751.291398357,766.138352605,779.292747738,790.930727878,667.9995013,684.713784548,701.625334512,716.900301133,702.098603515,685.100734117,789.773870854,804.272631798,820.059179474,834.553260788,822.100900177,806.650236768,710.498194967,733.191467401,753.96565353,766.687835188,780.493918166,797.110982011,812.381716544,798.288601435,783.436680566,768.307296766,754.484425704,733.487922429,719.780216804,753.764215036,766.715327129,780.686769679,804.962711344,781.086315899,766.636602787,753.471759592,369.629018717,404.266622543,439.791724654,474.003742851,505.498481439,531.607622231,550.257489862,564.102117084,567.147963606,560.447741395,545.285179994,527.743022044,504.933053239,474.935807216,439.416310284,402.123976812,365.188679422,343.399364875,327.252140272,322.506292815,324.838169076,331.641207861,326.851814599,317.36315535,312.355089113,314.246518249,327.18871332,353.33386815,373.412207445,393.29335874,414.212132578,430.969558906,434.438943122,436.921879484,432.26351253,427.340198711,360.718768327,353.667519081,352.206791723,359.841553395,362.620520745,363.755235728,354.878293335,344.833131122,344.188392222,349.56338224,354.330372049,355.625265155,473.857885099,461.871921805,455.9701175,458.209415826,454.308732661,458.612695123,467.019975148,482.802173131,491.245253821,494.124102423,494.099534054,489.088143912,472.834723406,467.532994801,467.707518249,465.487713736,467.689349485,473.395629406,476.385409691,476.676804513
337,is there anything you regret,882.36,994.63,28156.0,938.5,0.965395555061,1.0,601.750506975,603.840718314,608.836828139,616.345140101,631.279572277,656.705463045,690.410823093,727.34588038,762.556084001,793.721261799,821.059428614,846.103333037,867.173152864,880.96130187,887.79699347,891.036274265,891.794685367,634.54259068,654.669439299,680.055549718,705.315652716,728.584134461,779.786898783,802.522679133,824.962022559,847.883225883,866.49148976,756.269402196,758.610964381,760.937080439,763.260129712,732.66434016,746.962129118,761.418102107,774.841822796,786.917677649,668.077229445,684.368831107,701.61091778,716.775979816,701.536905016,684.304749481,789.454080439,804.069153458,820.51857287,835.318612348,822.47252894,806.403995548,708.337156129,729.195888691,749.053872959,761.999392698,776.283129118,793.804344316,810.069035916,794.976587118,778.979871178,763.405474622,749.305948649,729.334005046,717.574125557,748.815360344,761.989457109,776.446790739,802.295487979,776.875401306,761.994395963,748.568083408,373.570932027,408.147140101,443.551275453,477.833030276,509.349181953,536.234894924,556.164505194,571.068687444,575.103856931,569.944428911,556.374785099,539.031237459,515.54176818,484.230349955,446.703189967,407.252390917,368.427241912,339.978505194,324.967669041,321.5774019,324.681536658,331.598127041,327.831448798,318.676520926,314.089612942,316.012026714,328.651788068,355.104563075,375.4963645,395.672701692,416.855581181,434.025477887,437.798804987,440.532605224,436.17775423,431.705635203,361.559297121,354.045840902,353.087561888,361.608548531,364.419103592,365.188083408,358.125886316,347.83990561,347.433379935,353.641861977,358.489991986,359.511098546,479.161737014,465.828681211,459.654246364,462.160813891,458.558602256,464.01345236,474.339674978,489.971776788,497.69418225,500.036487385,499.59327011,494.119437519,478.175775898,471.85557851,472.194361532,470.398809736,474.640133274,479.700909766,482.077235085,481.918066489
337,how have you been feeling lately,1488.19,1603.29,46373.5,1545.75,0.961564525767,1.0,612.334187898,614.396171975,618.954002027,625.677083382,639.805993631,664.678720614,698.208747539,734.334524899,768.187639259,797.832944702,824.136853503,848.898804574,870.715129994,885.277933411,892.423774754,895.969969311,897.240630863,641.731300521,661.021408512,687.059061668,713.199929357,737.331761436,785.259895194,808.627479444,831.878374349,855.652571511,874.283050666,763.091200058,765.456842501,767.7403315,770.026866242,739.657541691,753.839100463,768.246349739,781.620165316,793.703809786,675.87693399,692.042813839,708.885714244,724.118495657,709.103136943,692.238606254,796.43856022,810.936416039,827.013239433,841.886129705,828.947605385,813.191381587,715.917460625,736.847109728,756.486405617,769.034279965,783.015566879,800.268738564,816.919165316,801.547793573,785.868086277,770.571600753,756.874572669,737.050852924,725.124917197,756.198370295,769.039538217,783.165898668,809.332145628,783.631411986,769.049267805,755.950720324,368.918038217,402.739808049,437.44580718,470.87174725,501.601429068,527.335823972,545.984681239,560.285636074,564.717472785,560.637586856,549.139756225,534.37485553,513.210446439,483.271576433,446.053083092,406.421466995,367.309947018,341.025570353,324.983316155,321.157365663,324.084008107,331.051697452,327.236235379,317.721565721,313.101461204,315.604425883,329.300756804,352.579040822,372.51227128,392.252872901,413.041993341,428.851677186,432.708922119,435.390160973,431.044327446,426.646828894,358.57541546,351.678799074,350.582521135,358.515151708,360.990089461,361.862781992,355.008480892,345.124808917,344.840737695,350.563653445,355.126848581,356.095234511,471.596609728,460.030715981,454.52592154,456.983113202,453.478026925,458.388740301,467.176315576,482.317191372,490.019303127,492.314985814,491.884614939,486.489672554,470.762859873,465.842588882,466.286800521,464.495221193,467.538013028,472.455971917,474.769834684,474.616154893
337,have you ever been diagnosed with p_t_s_d,1163.22,1165.91,34938.0,1164.56666667,0.969410703704,1.0,617.236506173,617.901802469,620.947407407,626.234938272,639.269975309,663.395074074,697.106716049,733.66962963,768.392185185,798.596283951,825.041049383,850.203308642,872.76837037,888.484160494,897.39362963,902.687728395,905.890691358,649.158395062,669.994962963,696.657444444,723.217740741,747.478061728,795.510716049,819.391320988,842.801185185,866.250987654,884.284753086,772.021135802,774.061938272,776.055555556,777.987296296,745.976987654,760.644024691,775.548641975,789.222567901,801.641,683.217296296,699.829283951,716.801790123,731.802432099,716.882506173,699.894716049,805.684975309,820.33562963,836.253308642,851.030296296,837.91682716,822.302098765,720.667592593,744.246765432,764.34045679,776.281222222,789.98437037,806.779839506,823.806135802,807.757061728,792.448839506,777.731555556,764.704358025,744.383209877,730.293074074,763.707716049,776.051901235,789.812839506,816.41154321,790.443901235,776.360851852,763.862716049,367.47254321,399.566925926,433.014814815,465.566851852,496.135604938,522.458123457,542.242654321,558.661814815,564.643580247,561.911160494,551.659185185,538.861901235,519.661839506,491.676888889,455.995098765,417.992617284,380.354074074,337.608987654,322.885876543,320.150580247,324.028975309,332.086975309,329.585765432,320.481518519,316.577283951,320.083617284,334.381691358,354.852049383,375.636530864,396.084037037,417.48237037,431.897555556,436.398432099,439.512160494,435.27691358,430.935765432,357.592641975,351.197654321,350.631074074,358.990876543,360.933123457,361.381444444,357.491802469,347.987839506,348.202111111,354.377123457,358.320765432,358.867790123,471.819037037,463.499518519,459.331061728,461.89717284,458.660506173,462.760012346,469.55882716,481.684345679,488.153777778,490.172345679,489.632283951,485.176876543,471.54862963,470.257395062,470.926617284,469.213987654,469.964864198,471.156,473.159444444,472.855567901
490,what are some things you wish you could change about yourself,525.741,548.778,16118.5,537.25,0.956984813584,1.0,727.805890173,722.783686416,720.241263006,719.855286127,725.096556358,738.999959538,760.947460983,789.435218208,823.247872832,857.427567919,887.457926301,912.057557803,928.34541763,937.793520231,944.007157514,950.013713873,953.970644509,759.230828035,775.868731214,796.982849711,817.764817919,836.499372832,870.163364162,889.932754335,909.066894509,926.555536127,937.041903179,851.252274566,849.499065029,847.917316474,846.129401734,820.089215318,830.342147399,840.557206647,851.464043353,861.387174855,780.170265896,793.324485549,806.809705202,817.912823699,805.335367052,791.823682081,876.00382948,889.883695087,902.851813584,912.779885838,901.70666763,888.818102601,793.556913295,811.359881503,826.988083815,836.106239884,846.636102601,859.187485549,870.640663295,856.403719653,843.099245665,831.994410405,821.945975434,807.833498555,800.679130058,825.224449422,834.640751445,845.155268786,863.69066763,844.634859827,834.044381503,824.649978324,402.448145954,433.659537572,465.97775578,498.155017341,530.490044798,560.591900289,586.713839595,609.287867052,619.265101156,617.073057803,601.737225434,580.715062139,555.435566474,526.978302023,498.932595376,471.002436416,442.041302023,400.951988439,390.765140173,390.11507948,397.715050578,408.852654624,413.38591185,408.873569364,408.275518786,413.088443642,425.421086705,434.066716763,450.790953757,467.48940896,485.394640173,500.568049133,505.456816474,509.990965318,509.115924855,506.859375723,427.128592486,424.343290462,426.106309249,433.816742775,435.521174855,433.931614162,442.11467052,438.279297688,440.800877168,447.093115607,449.920628613,447.807393064,542.563780347,536.813352601,534.545731214,538.946539017,537.634458092,544.274849711,553.336043353,563.362291908,565.731539017,565.237424855,563.096739884,556.938184971,543.301362717,545.476257225,547.529039017,548.137934971,552.697684971,550.942067919,550.576182081,548.499612717
490,tell me about a situation that you wish you had handled differently,196.459,228.294,6372.5,212.383333682,0.969352176778,1.0,673.892771967,676.68108682,682.034291841,689.070655858,699.849439331,717.008472803,740.825801255,770.373816946,805.15960251,840.167963389,869.555559623,891.291114017,902.896676778,905.643860879,904.587882845,902.989851464,899.782222803,691.331323222,703.307986402,722.432843096,743.032316946,762.455706067,793.770355649,813.907396444,835.069334728,855.887021967,871.496656904,779.994131799,780.343633891,780.60784728,780.975858787,764.546405858,775.098087866,785.731027197,796.518674686,806.366964435,715.147455021,725.915470711,739.879299163,752.777937238,740.775987448,726.884942469,811.325373431,823.474531381,837.526158996,849.929800209,839.082944561,825.246655858,754.223839958,766.138669456,779.128458159,788.640853556,798.75015795,813.968495816,830.127200837,816.084717573,802.584410042,791.550530335,781.642943515,768.262033473,760.523261506,780.412900628,789.575127615,800.252540795,822.581523013,800.212725941,789.627241632,780.4466841,436.444355649,465.11509205,493.735346234,522.120932008,549.915232218,575.55925523,597.75116318,615.360692469,617.699404812,606.694526151,583.665214435,556.375279289,526.787816946,496.251425732,467.650706067,439.986946653,411.090628661,422.721162134,410.94923954,407.205458159,410.617634937,417.362329498,414.336550209,404.870812762,399.222008368,400.309947699,410.043179916,434.729687238,452.501514644,470.441225941,489.337316946,506.784969665,509.844096234,511.993559623,508.397683054,503.909429916,439.814901674,433.109471757,432.142839958,439.165311715,443.301720711,444.623591004,434.476633891,425.994888075,425.398703975,430.138706067,436.085787657,437.103987448,551.341828452,543.218643305,538.027747908,540.30964749,536.610696653,539.7643159,545.244375523,558.181322176,563.2015659,564.943612971,564.770037657,561.862986402,550.664916318,548.178270921,548.301366109,546.545508368,546.082753138,548.959414226,550.721309623,550.300392259
490,how have you been feeling lately,436.468,450.147,13300.0,443.3,0.963174394161,1.0,722.906406326,718.931783455,717.476411192,717.54849635,722.567849148,735.903841849,757.786189781,786.881296837,821.894250608,857.424029197,888.543296837,913.373513382,928.752917275,936.70043309,941.656627737,946.777793187,949.881321168,751.919491484,768.43510219,789.760345499,810.740377129,829.873248175,862.196871046,882.503549878,902.438518248,920.763754258,931.908515815,844.64207056,842.805150852,841.102841849,839.235345499,814.334844282,824.635900243,834.814360097,845.693457421,855.666554745,773.761807786,786.932238443,801.065055961,812.284880779,799.431549878,785.218627737,870.347744526,884.619012165,898.219593674,908.375822384,897.225021898,883.694931873,789.32273236,806.401912409,821.675892944,830.920997567,841.645245742,854.425009732,866.553912409,852.173917275,838.892776156,827.573430657,817.450240876,803.552717762,796.39977129,820.219311436,829.702343066,840.498012165,859.225854015,840.119510949,829.30386618,819.884919708,401.884914842,432.969744526,465.002321168,496.967642336,529.19540146,559.444888078,586.202980535,609.269810219,618.649291971,615.119781022,598.022493917,575.274781022,548.679554745,519.699245742,492.07856691,464.904895377,436.198773723,403.681029197,393.737510949,393.31970073,400.960975669,411.943287105,415.671885645,410.734922141,409.497579075,413.852600973,426.098625304,434.495513382,451.37970073,468.350793187,486.493722628,501.758160584,506.453654501,510.754992701,509.735885645,507.302163017,427.131114355,423.334411192,425.110019465,434.071270073,435.947265207,434.385973236,441.135214112,435.827116788,438.04850365,444.945343066,448.545878345,446.7026618,544.053905109,538.150459854,535.418177616,539.681440389,538.018576642,544.422508516,553.358727494,562.919131387,565.239109489,564.902776156,562.973766423,557.502790754,544.588501217,546.435111922,548.308766423,548.666695864,552.749849148,550.482021898,550.322245742,548.347564477
490,have you been diagnosed with depression,483.698,486.3,14551.0,485.0,0.966525696203,1.0,729.435658228,725.179683544,723.733620253,723.848417722,729.079113924,742.505316456,764.619164557,793.581772152,828.041101266,862.582544304,892.73478481,917.137291139,932.717164557,941.047924051,946.669379747,952.075151899,955.282772152,758.244468354,775.628367089,797.160113924,817.874101266,836.493797468,868.916303797,889.358493671,909.532088608,927.648721519,938.418,850.921316456,849.042506329,847.393329114,845.600708861,820.539063291,830.816303797,840.897797468,851.613683544,861.512556962,779.539367089,792.563594937,807.12935443,818.377113924,805.199025316,790.471177215,876.127164557,890.604987342,904.487063291,914.585708861,903.317607595,889.475924051,796.864810127,814.060911392,828.851810127,837.485227848,847.434139241,859.708,871.600164557,857.887607595,845.345721519,834.861886076,825.464253165,811.800873418,803.948367089,827.688417722,836.458582278,846.47878481,864.167949367,846.445303797,836.463594937,827.765075949,401.589797468,433.065886076,465.768278481,498.062962025,529.90135443,559.442721519,584.855658228,606.66764557,616.211278481,614.380075949,600.132797468,579.850202532,554.732670886,526.011911392,497.690620253,469.850607595,441.178531646,394.654531646,384.745911392,384.699886076,392.464126582,403.877683544,409.137962025,405.222746835,405.319291139,410.853481013,424.118189873,427.593240506,443.916151899,460.124898734,477.551544304,495.264518987,499.789392405,503.841367089,503.112202532,500.939746835,419.503683544,414.707493671,416.963316456,427.308443038,428.969405063,427.086721519,436.500075949,430.260582278,433.10635443,441.383151899,444.577253165,442.306012658,539.270772152,532.210151899,529.051936709,533.161101266,531.666683544,538.688696203,548.642481013,556.323582278,557.94378481,557.493556962,555.829278481,551.190303797,539.463316456,539.996240506,541.610911392,542.098911392,547.477886076,543.556379747,543.244113924,541.43056962
490,tell me about the hardest decision you've ever had to make,230.038,256.37,7297.0,243.2,0.971041501896,1.0,693.643337547,694.188164349,697.020412137,701.186867257,709.999356511,726.480938053,750.666810367,780.95265866,815.653064475,849.716094817,878.138414665,900.09789507,913.188199747,918.656850822,920.82253603,922.828324905,922.797123894,718.284949431,732.366063211,753.76262579,776.106461441,797.116067004,827.890042984,848.23360177,868.853426043,888.754541087,901.993879899,814.019237674,814.282696587,814.568824273,814.857506953,792.217462705,803.196456384,814.281441214,825.39831732,835.392420986,744.026506953,756.230098609,769.977725664,782.422070796,770.16579646,756.389269279,841.643477876,854.883283186,868.29617067,879.626193426,868.629259166,855.304166877,774.554858407,789.971238938,804.544322377,814.185318584,824.80431732,838.482046776,852.007070796,838.643823009,825.670874842,814.237011378,803.950589128,789.729657396,781.506786346,804.500276865,814.119821745,825.026216182,844.78805689,824.941721871,814.007434893,804.402690265,427.335668774,457.67831732,488.158443742,518.306471555,548.542482933,576.472743363,601.22273957,622.008364096,627.892969659,620.069824273,599.187281922,573.858753477,545.883527181,516.391522124,488.227494311,460.476379267,431.171142857,429.250360303,417.315508217,414.453410872,419.708417193,428.514022756,428.023575221,420.432731985,416.312653603,418.29968268,428.911525917,447.009936789,465.054204804,483.210836915,502.455642225,516.46910493,520.524596713,523.982563843,521.011920354,516.906541087,446.384426043,441.884661188,441.734087231,448.465849558,451.51169153,451.859902655,448.192385588,441.92285335,442.519051833,447.1874311,451.879058154,451.669189633,559.103565107,552.934465234,549.233412137,552.351740834,549.406898862,553.361905183,559.198740834,571.343547408,575.795989886,576.868072061,575.961265487,571.648914033,559.183573957,559.150860936,560.098840708,559.042646018,559.756673831,561.109881163,562.346371681,561.277893805
490,have you ever been diagnosed with p_t_s_d,479.51,482.65,14433.0,481.066663158,0.965947915789,1.0,727.761357895,723.315789474,721.725989474,721.8828,727.202357895,740.751484211,762.664052632,791.412305263,825.750894737,860.439168421,890.997273684,915.535115789,931.085084211,939.202905263,944.589989474,949.988842105,953.214473684,756.601042105,773.564905263,794.672157895,815.114905263,833.635389474,866.610673684,886.921368421,906.933389474,924.983294737,935.8454,848.179431579,846.1448,844.308063158,842.280505263,817.825557895,827.923073684,837.705905263,848.2286,858.037484211,777.310947368,790.290726316,804.710010526,816.029736842,802.876442105,788.355642105,873.597905263,888.060221053,901.941178947,912.136410526,900.720852632,886.902357895,793.034926316,809.721947368,824.798905263,833.785189474,844.0276,856.800821053,868.631410526,854.477210526,841.307389474,830.467094737,820.632326316,806.964663158,800.164147368,823.448252632,832.596757895,842.905410526,861.061473684,842.581031579,832.295505263,823.200831579,399.715463158,431.139694737,463.784452632,496.188431579,528.114852632,557.833442105,583.312231579,604.863305263,614.357273684,612.508010526,598.318021053,577.906073684,552.698136842,523.807389474,495.235694737,467.063515789,438.164389474,391.438978947,381.239073684,380.865242105,388.456768421,399.730957895,405.038715789,400.970252632,401.229821053,406.898178947,420.197421053,423.856157895,439.597631579,455.257473684,472.188747368,491.254021053,495.551778947,499.471147368,498.971126316,497.166326316,416.813821053,412.250747368,414.376684211,424.282526316,426.006010526,424.168473684,433.517852632,427.865105263,430.803557895,438.897410526,441.939810526,439.533526316,536.208463158,528.075631579,524.599968421,528.953631579,527.558,535.383052632,546.526884211,555.094768421,556.847442105,556.255357895,554.346873684,549.009684211,536.365157895,536.468852632,538.235147368,538.937936842,545.203336842,541.380136842,540.852873684,538.868789474
